Oración original,label original,Puntaje Positivo,Puntaje Negativo,Resultado de inferencia,tiempo de ejecución
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,,0.0,0.641,Negativo,0.015444755554199219
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,,0.099,0.245,Neutro,0.009870290756225586
is twitter s connections api broken some tweets didn t make it to twitter,,0.0,0.22,Negativo,0.009824752807617188
i srsly hate the stupid twitter api timeout thing soooo annoying,,0.0,0.583,Negativo,0.010611534118652344
i really liked learning jquery book is worth a look too,,0.416,0.0,Negativo,0.009493350982666016
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,,0.166,0.0,Negativo,0.009635448455810547
goodby silverstein agency new site great,,0.451,0.0,Negativo,0.009673357009887695
rt goodby silverstein s new site i enjoy it nice find,,0.462,0.0,Negativo,0.010914325714111328
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,,0.267,0.0,Negativo,0.010518550872802734
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,,0.286,0.0,Negativo,0.018109560012817383
zomg i have a g,,0.0,0.0,Negativo,0.016276836395263672
ok so lots of buzz from io but how lucky are they a free g,,0.494,0.0,Negativo,0.010867118835449219
just got a free g android at google i o,,0.398,0.0,Negativo,0.009608268737792969
guess i ll be retiring my g and start using my developer g woot googleio,,0.203,0.0,Negativo,0.009839296340942383
i am happy for philip being at googleio today,,0.346,0.0,Negativo,0.009540557861328125
lakers played great cannot wait for thursday night lakers vs,,0.448,0.0,Negativo,0.010006189346313477
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,,0.258,0.127,Neutro,0.009628772735595703
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,,0.0,0.149,Negativo,0.010709762573242188
watching night at the museum lmao,,0.438,0.0,Negativo,0.01024174690246582
i loved night at the museum,,0.494,0.0,Negativo,0.009867191314697266
just got back from the movies went to see the new night at the museum with rachel it was good,,0.132,0.0,Negativo,0.010017633438110352
i will take you on a date to see night at the museum whenever you want it looks soooooo good,,0.208,0.0,Negativo,0.004955768585205078
no watching the night at the museum getting really good,,0.238,0.164,Neutro,0.004807233810424805
night at the museum wolverine and junk food perfect monday,,0.291,0.0,Negativo,0.004468441009521484
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,,0.388,0.05,Neutro,0.00993037223815918
night at the museum tonite instead of up oh well that yr old better enjoy it lol,,0.458,0.0,Negativo,0.004558086395263672
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,,0.088,0.098,Neutro,0.009552478790283203
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,,0.203,0.0,Negativo,0.010079383850097656
oh yes but if gm dies it will only be worth more boo hahaha,,0.464,0.0,Negativo,0.004490375518798828
time warner cable is down again rd time since memorial day bummer,,0.0,0.191,Negativo,0.010113716125488281
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,,0.152,0.065,Neutro,0.004579782485961914
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,,0.0,0.313,Negativo,0.009302854537963867
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,,0.0,0.343,Negativo,0.009570121765136719
time warner has the worse customer service ever i will never use them again,,0.0,0.205,Negativo,0.009589672088623047
time warner is the devil worst possible time for the internet to go out,,0.0,0.415,Negativo,0.009829998016357422
fuck no internet damn time warner,,0.0,0.737,Negativo,0.0159456729888916
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,,0.0,0.195,Negativo,0.012828826904296875
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,,0.291,0.127,Neutro,0.010368824005126953
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,,0.207,0.115,Neutro,0.010381460189819336
time warner s hd line up is crap,,0.0,0.302,Negativo,0.010251522064208984
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,,0.0,0.315,Negativo,0.010404825210571289
time warner cable slogan where calling it a day at pm happens,,0.0,0.0,Negativo,0.010506629943847656
recovering from surgery wishing was here,,0.275,0.0,Negativo,0.009589672088623047
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,,0.099,0.282,Neutro,0.01036214828491211
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,,0.195,0.357,Neutro,0.009712457656860352
my dentist is great but she s expensive,,0.298,0.0,Negativo,0.009615421295166016
is studing math tomorrow exam and dentist,,0.0,0.0,Negativo,0.004264116287231445
my dentist was wrong wrong,,0.0,0.674,Negativo,0.004460811614990234
going to the dentist later,,0.0,0.0,Negativo,0.015449285507202148
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,,0.184,0.117,Neutro,0.009561538696289062
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,,0.0,0.15,Negativo,0.009196043014526367
safeway is very rock n roll tonight,,0.0,0.0,Negativo,0.00446319580078125
the safeway bathroom still smells like ass,,0.227,0.318,Neutro,0.004689693450927734
at safeway on elkhorn they move like they re dead,,0.169,0.291,Neutro,0.004821062088012695
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,,0.388,0.1,Positivo,0.004762411117553711
found nothing at nike factory off to banana republic outlet,,0.0,0.0,Negativo,0.004645586013793945
is lovin his nike already and that s only from running on the spot in his bedroom,,0.0,0.0,Negativo,0.004860401153564453
i finally got around to using jquery to make my bio collapse yay for slide animations,,0.173,0.163,Neutro,0.009668588638305664
right lol we ll get there i have high expectations warren buffet style,,0.203,0.0,Negativo,0.009273529052734375
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,,0.194,0.0,Negativo,0.010250091552734375
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,,0.151,0.0,Negativo,0.010758161544799805
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,,0.254,0.0,Negativo,0.012995719909667969
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,,0.384,0.0,Negativo,0.015526533126831055
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,,0.191,0.146,Neutro,0.010959625244140625
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,,0.131,0.227,Neutro,0.009734153747558594
we tried but time warner wasn t being nice so we recorded today,,0.252,0.0,Negativo,0.009972810745239258
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,,0.0,0.0,Negativo,0.010613203048706055
wth i have never seen a line this loooong at time warner before ugh,,0.0,0.383,Negativo,0.009883403778076172
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,,0.146,0.123,Neutro,0.010366439819335938
naive bayes using em for text classification really frustrating,,0.0,0.431,Negativo,0.009943723678588867
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,,0.049,0.0,Negativo,0.01049661636352539
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,,0.227,0.126,Neutro,0.010226011276245117
just blocked united blood services using google voice they call more than those car warranty guys,,0.148,0.111,Neutro,0.00969076156616211
at amp t is complete fail,,0.0,0.467,Negativo,0.011070489883422852
oh snap you work at at amp t don t you,,0.0,0.0,Negativo,0.010981559753417969
i really dont want at amp t phone service they suck when it comes to having a signal,,0.0,0.253,Negativo,0.010692596435546875
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,,0.0,0.091,Negativo,0.010194063186645508
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,,0.053,0.171,Neutro,0.010576009750366211
safari is fast even on my shitty at amp t tethering,,0.0,0.286,Negativo,0.009763002395629883
what is at amp t fucking up,,0.0,0.0,Negativo,0.010160207748413086
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,,0.123,0.366,Neutro,0.010089397430419922
yay glad you got the phone still damn you at amp t,,0.374,0.158,Neutro,0.009934425354003906
talk is cheap bing that i ll stick with google,,0.0,0.0,Negativo,0.00964665412902832
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,,0.173,0.127,Neutro,0.010637521743774414
i love google translator too d good day mate,,0.587,0.0,Negativo,0.01177835464477539
reading on my new kindle,,0.0,0.0,Negativo,0.019556522369384766
my kindle came and i love it,,0.457,0.0,Negativo,0.011081933975219727
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,,0.328,0.045,Neutro,0.010179758071899414
the real aig scandal,,0.0,0.492,Negativo,0.015011787414550781
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,,0.512,0.0,Negativo,0.010607719421386719
barack obama shows his funny side gt gt great speech,,0.651,0.0,Negativo,0.009847164154052734
i like this guy barack obama shows his funny side gt gt,,0.578,0.0,Negativo,0.009711265563964844
obama s speech was pretty awesome last night,,0.593,0.0,Negativo,0.00949549674987793
reading bill clinton fail obama win,,0.336,0.31,Neutro,0.009476184844970703
obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries,,0.323,0.0,Negativo,0.00976705551147461
obama s got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president,,0.326,0.0,Negativo,0.009773731231689453
lebron james got in a car accident i guess just heard it on evening news wow i cant believe it will he be ok,,0.221,0.114,Neutro,0.01004171371459961
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,,0.167,0.0,Negativo,0.009753704071044922
no lebron is the best,,0.447,0.234,Positivo,0.009476184844970703
lebron is cool i like his personality he has good character,,0.524,0.0,Negativo,0.0095062255859375
watching lebron highlights damn that niggas good,,0.242,0.425,Neutro,0.009363174438476562
lebron is murdering shit,,0.0,0.798,Negativo,0.00937795639038086
lebron is a monsta and he is only smh the world ain t ready,,0.169,0.155,Neutro,0.009328365325927734
when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players,,0.307,0.0,Negativo,0.010210514068603516
kobe is good bt lebron has my vote,,0.293,0.0,Negativo,0.009273767471313477
kobe is the best in the world not lebron,,0.344,0.0,Negativo,0.009237527847290039
world cup access damn that s a good look,,0.274,0.255,Neutro,0.00941920280456543
just bought my tickets for the fifa world cup in south africa its going to be a great summer,,0.194,0.0,Negativo,0.009416341781616211
i have to go to booz allen hamilton for a hr meeting but then i get to go home,,0.0,0.0,Negativo,0.009187459945678711
the great indian tamasha truly will unfold from may the result day for indian general election,,0.333,0.0,Negativo,0.010289669036865234
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday,,0.212,0.092,Neutro,0.011599302291870117
such an awesome idea the continual learning program with a kindle,,0.313,0.0,Negativo,0.016377925872802734
ooooh what model are you getting i have the d and love love love love it,,0.627,0.0,Negativo,0.009850025177001953
the times of india the wonder that is india s election,,0.0,0.0,Negativo,0.00975179672241211
good video from google on using search options,,0.293,0.0,Negativo,0.010580778121948242
lol ah my skin is itchy damn lawnmowing,,0.222,0.381,Neutro,0.009845256805419922
itchy back dont ya hate it,,0.33,0.231,Neutro,0.01001429557800293
stanford charity fashion show a top draw,,0.535,0.0,Negativo,0.009595394134521484
stanford university s facebook profile is one of the most popular official university pages,,0.205,0.0,Negativo,0.009852170944213867
lyx is cool,,0.535,0.0,Negativo,0.009679794311523438
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,,0.293,0.0,Negativo,0.009865283966064453
rt american idol fashion adam lambert tones down danny gokey cute,,0.231,0.0,Negativo,0.009747982025146484
i love you danny gokey,,0.583,0.0,Negativo,0.009736061096191406
so tired i didn t sleep well at all last night,,0.171,0.26,Neutro,0.009170055389404297
boarding plane for san francisco in hour hr flight blech,,0.0,0.0,Negativo,0.009167194366455078
bonjour san francisco my back hurts from last night,,0.0,0.279,Negativo,0.009047746658325195
with my best girl for a few more hours in san francisco mmmmmfamily is wonderful,,0.397,0.0,Negativo,0.009509086608886719
f up big or go home aig,,0.0,0.0,Negativo,0.009063959121704102
went to see the star trek movie last night very satisfying,,0.248,0.0,Negativo,0.010050296783447266
i can t wait going to see star trek tonight,,0.0,0.0,Negativo,0.010075569152832031
star trek was as good as everyone said,,0.293,0.0,Negativo,0.009718179702758789
am loving new malcolm gladwell book outliers,,0.394,0.0,Negativo,0.009846210479736328
i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as well,,0.234,0.0,Negativo,0.009176254272460938
malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot,,0.07,0.229,Neutro,0.009385347366333008
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit,,0.135,0.38,Neutro,0.009542703628540039
rt great article by malcolm gladwell,,0.451,0.0,Negativo,0.010409355163574219
i seriously underestimated malcolm gladwell i want to meet this dude,,0.117,0.342,Neutro,0.018238306045532227
i hate comcast right now everything is down cable internet amp phone ughh what am i to do,,0.0,0.198,Negativo,0.011713266372680664
comcast sucks,,0.0,0.714,Negativo,0.010143518447875977
the day i never have to deal with comcast again will rank as one of the best days of my life,,0.181,0.0,Negativo,0.010586977005004883
did comcast fail again,,0.0,0.538,Negativo,0.010626792907714844
curses the twitter api limit,,0.0,0.0,Negativo,0.009584188461303711
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,,0.0,0.231,Negativo,0.010264396667480469
arg twitter api is making me crazy,,0.0,0.286,Negativo,0.009418725967407227
i m really loving the new search site wolfram alpha makes google seem so quaint,,0.259,0.0,Negativo,0.009719610214233398
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,,0.0,0.227,Negativo,0.009750604629516602
off to the nike factory,,0.0,0.0,Negativo,0.009265422821044922
new nike muppet commercials are pretty cute why do we live together again,,0.36,0.0,Negativo,0.01000356674194336
oh those are awesome i so wish they weren t owned by nike,,0.458,0.0,Negativo,0.010202169418334961
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,,0.227,0.0,Negativo,0.01018071174621582
arhh it s weka bug and i spent almost two hours to find that out crappy me,,0.0,0.205,Negativo,0.009557962417602539
hey bud np i do so love my d although i d love a d mkii more,,0.587,0.0,Negativo,0.009950399398803711
just got us a d for the office d,,0.0,0.0,Negativo,0.009014368057250977
just picked up my new canon d it s beautiful prepare for some seriously awesome photography,,0.386,0.082,Positivo,0.009940624237060547
just got my new toy canon d love love love it,,0.643,0.0,Negativo,0.010660648345947266
learning about lambda calculus,,0.0,0.0,Negativo,0.00954127311706543
i m moving to east palo alto,,0.0,0.0,Negativo,0.009150505065917969
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,,0.187,0.0,Negativo,0.009352445602416992
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,,0.225,0.0,Negativo,0.009502410888671875
lakers tonight let s go,,0.0,0.0,Negativo,0.00967717170715332
will the lakers kick the nuggets ass tonight,,0.0,0.333,Negativo,0.009418487548828125
oooooooh north korea is in troubleeeee,,0.0,0.0,Negativo,0.009387969970703125
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,,0.157,0.0,Negativo,0.011664628982543945
listening to obama friggin north korea,,0.0,0.0,Negativo,0.010719060897827148
i just realized we three monkeys in the white obama biden pelosi sarah palin,,0.0,0.0,Negativo,0.009363412857055664
pelosi should stay in china and never come back,,0.0,0.0,Negativo,0.01023721694946289
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,,0.125,0.319,Neutro,0.009635210037231445
ugh the amount of times these stupid insects have bitten me grr,,0.0,0.383,Negativo,0.010406017303466797
prettiest insects ever pink katydids,,0.481,0.0,Negativo,0.009423017501831055
just got barraged by a horde of insects hungry for my kitchen light so scary,,0.0,0.24,Negativo,0.010369300842285156
just had mcdonalds for dinner d it was goooood big mac meal,,0.0,0.0,Negativo,0.009635686874389648
ahh yes lol ima tell my hubby to go get me sum mcdonalds,,0.333,0.0,Negativo,0.010022401809692383
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,,0.0,0.192,Negativo,0.009385108947753906
could go for a lot of mcdonalds i mean a lot,,0.0,0.0,Negativo,0.009441614151000977
my exam went good your prayers worked,,0.326,0.0,Negativo,0.009311437606811523
only one exam left and i am so happy for it d,,0.345,0.0,Negativo,0.009290456771850586
math review im going to fail the exam,,0.0,0.333,Negativo,0.00895380973815918
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,,0.198,0.134,Neutro,0.009716987609863281
obviously not siding with cheney here,,0.0,0.0,Negativo,0.009052038192749023
absolutely hilarious from,,0.599,0.0,Negativo,0.009748458862304688
i never did thank you for including me in your top twitter authors you rock amp i new wave d,,0.095,0.112,Neutro,0.009312629699707031
rt awesome jquery reference book for coda webdesign,,0.369,0.0,Negativo,0.009390115737915039
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them,,0.238,0.085,Neutro,0.009417295455932617
goodby silverstein s new site i enjoy it,,0.39,0.0,Negativo,0.004067420959472656
wow everyone at the google i o conference got free g s with a month of unlimited service,,0.392,0.0,Negativo,0.004374980926513672
dood i got a free google android phone at the i o conference the g,,0.268,0.0,Negativo,0.009690999984741211
the g is amazing btw a huge improvement over the g,,0.645,0.0,Negativo,0.017568588256835938
html demos lots of great stuff to come yes i m excited io googleio,,0.505,0.0,Negativo,0.011123895645141602
yay happy place place place i love google,,0.739,0.0,Negativo,0.016691207885742188
googleio o d bringing d graphics to the browser very nice tbh funfun,,0.256,0.0,Negativo,0.011536121368408203
awesome viral marketing for funny people,,0.636,0.0,Negativo,0.010886907577514648
saw night at the museum out of sheer desperation who is funding these movies,,0.0,0.188,Negativo,0.014909744262695312
night at the museum pretty furkin good,,0.55,0.0,Negativo,0.00963282585144043
watching night at the museum giggling,,0.333,0.0,Negativo,0.009992599487304688
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,,0.107,0.0,Negativo,0.010332345962524414
just watched night at the museum so stinkin cute,,0.291,0.0,Negativo,0.009783744812011719
so night at the museum was awesome much better than part next weekend we ll see up,,0.318,0.0,Negativo,0.01011800765991211
saw the new night at the museum and i loved it next is to go see up in d,,0.196,0.0,Negativo,0.010779142379760742
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,,0.0,0.217,Negativo,0.010080337524414062
as u may have noticed not too happy about the gm situation nor aig lehman et al,,0.0,0.167,Negativo,0.009499788284301758
gm good riddance sad though,,0.322,0.344,Neutro,0.009180307388305664
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,,0.0,0.0,Negativo,0.009593486785888672
having the old coca cola guy on the gm board is stupid has heck tcot ala,,0.0,0.185,Negativo,0.009449958801269531
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,,0.17,0.211,Neutro,0.009712934494018555
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good,,0.112,0.0,Negativo,0.010283231735229492
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,,0.077,0.336,Neutro,0.009624481201171875
i own a gm car and it is junk as far as quality compared to a honda,,0.0,0.0,Negativo,0.009478092193603516
sad day bankrupt gm,,0.0,0.77,Negativo,0.009941816329956055
is upset about the whole gm thing life as i know it is so screwed up,,0.0,0.341,Negativo,0.009041547775268555
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,,0.0,0.281,Negativo,0.00999307632446289
wftb joining a bit late my connection was down boo time warner,,0.0,0.0,Negativo,0.009401082992553711
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,,0.0,0.0,Negativo,0.009746074676513672
i am furious with time warner and their phone promotions,,0.0,0.316,Negativo,0.009238958358764648
just got home from chick fil a with the boys damn my internets down stupid time warner,,0.0,0.303,Negativo,0.00963902473449707
could time warner cable suck more no,,0.0,0.519,Negativo,0.01173257827758789
